5000 0.090569 0.0902526 0.0908854
10000 0.405984 0.404027 0.407942
15000 0.94906 0.946017 0.952104
20000 1.72331 1.71678 1.72985
25000 2.72106 2.71602 2.72609
30000 3.95324 3.94685 3.95964
35000 5.4377 5.41653 5.45887
40000 7.15204 7.13202 7.17206
45000 9.1149 9.09936 9.13044
50000 11.298 11.2815 11.3145
55000 13.7115 13.6924 13.7307
60000 16.3574 16.3352 16.3796
65000 19.2115 19.185 19.238
70000 22.2841 22.2531 22.3151
75000 25.5978 25.5564 25.6392
80000 29.1257 29.0901 29.1612
85000 32.9045 32.8549 32.9542
90000 36.899 36.8617 36.9363
95000 41.1213 41.0914 41.1512
100000 45.5843 45.5064 45.6622
