5000 0.0155058 0.0153205 0.0156911
10000 0.0607546 0.0602553 0.0612539
15000 0.135428 0.13477 0.136086
20000 0.239363 0.237797 0.240929
25000 0.372472 0.369968 0.374976
30000 0.536322 0.534909 0.537734
35000 0.728899 0.727413 0.730386
40000 0.951444 0.948584 0.954304
45000 1.20198 1.1986 1.20537
50000 1.48324 1.47898 1.4875
55000 1.79437 1.78997 1.79876
60000 2.13273 2.12781 2.13765
65000 2.50381 2.4992 2.50843
70000 2.89893 2.89337 2.90449
75000 3.32875 3.319 3.33849
80000 3.78783 3.77813 3.79753
85000 4.27739 4.26756 4.28722
90000 4.79256 4.78423 4.80089
95000 5.33356 5.32448 5.34263
100000 5.90801 5.89541 5.92061
