5000 0.0140115 0.0135868 0.0144362
10000 0.053972 0.0532135 0.0547305
15000 0.1271 0.118617 0.135583
20000 0.216763 0.211627 0.221899
25000 0.354415 0.339799 0.369031
30000 0.503486 0.482039 0.524932
35000 0.857729 0.666798 1.04866
40000 1.37338 0.966908 1.77985
45000 1.50402 1.07317 1.93488
50000 1.47573 1.27937 1.67209
55000 1.79905 1.60217 1.99593
60000 2.43756 2.2043 2.67082
65000 2.83006 2.18449 3.47563
70000 3.1903 2.58493 3.79568
75000 3.92732 3.11459 4.74005
80000 4.26818 3.42664 5.10972
85000 5.51415 4.88223 6.14606
90000 5.68627 4.43845 6.93408
95000 6.95652 5.03442 8.87862
100000 6.51341 5.54871 7.4781
