5000 0.0823425 0.0816126 0.0830724
10000 0.365819 0.36349 0.368148
15000 0.869336 0.841367 0.897305
20000 1.56204 1.53884 1.58525
25000 2.59419 2.52722 2.66117
30000 3.75183 3.60286 3.90081
35000 6.71324 5.36553 8.06094
40000 9.15751 7.8138 10.5012
45000 10.0344 9.00668 11.0622
50000 11.7143 10.1505 13.278
55000 13.7732 12.1575 15.3888
60000 17.988 17.3357 18.6402
65000 20.6237 19.2084 22.0391
70000 25.5405 24.467 26.614
75000 26.7455 25.2242 28.2668
80000 29.6489 26.816 32.4817
85000 39.0556 36.7954 41.3159
90000 46.162 42.3637 49.9603
95000 47.9952 46.0766 49.9138
100000 49.9002 47.7472 52.0533
