5000 0.235403 0.234978 0.235829
10000 0.961598 0.961041 0.962155
15000 2.21507 2.21368 2.21646
20000 3.96902 3.9673 3.97074
25000 6.24394 6.23853 6.24935
30000 9.15712 9.07938 9.23486
35000 14.1737 13.8692 14.4781
40000 22.6252 22.5017 22.7487
45000 32.6384 29.4435 35.8333
50000 44.6621 44.1953 45.1289
55000 57.2585 56.9349 57.582
60000 70.82 70.1921 71.448
65000 85.7157 84.9648 86.4666
70000 101.487 100.029 102.945
75000 119.462 118.957 119.968
80000 137.966 137.575 138.358
85000 157.274 157.099 157.449
90000 178.003 176.976 179.03
95000 200.007 199.546 200.469
100000 222.829 222.638 223.02
