5000 0.0038823 0.00380935 0.00395525
10000 0.0080844 0.00804674 0.00812206
15000 0.0123018 0.0122623 0.0123413
20000 0.0158815 0.0158317 0.0159312
25000 0.0206907 0.0206518 0.0207296
30000 0.0255488 0.0247646 0.026333
35000 0.0298667 0.0297893 0.0299441
40000 0.03433 0.0342535 0.0344065
45000 0.038734 0.0386625 0.0388055
50000 0.0431356 0.043081 0.0431902
55000 0.0475059 0.0474281 0.0475837
60000 0.0517963 0.0517255 0.0518671
65000 0.0576644 0.0575802 0.0577486
70000 0.062162 0.0620351 0.0622889
75000 0.0668089 0.0667255 0.0668923
80000 0.0715764 0.0714021 0.0717507
85000 0.0761765 0.076059 0.076294
90000 0.0832048 0.0765292 0.0898804
95000 0.0855743 0.0854624 0.0856862
100000 0.0898841 0.0897337 0.0900345
