5000 0.0267077 0.0264568 0.0269586
10000 0.104204 0.103629 0.10478
15000 0.231898 0.230803 0.232993
20000 0.409673 0.407878 0.411468
25000 0.636796 0.633658 0.639934
30000 0.91576 0.913055 0.918465
35000 1.2449 1.24152 1.24827
40000 1.62552 1.62138 1.62965
45000 2.05399 2.04785 2.06013
50000 2.5361 2.52908 2.54313
55000 3.06835 3.06023 3.07647
60000 3.64952 3.63936 3.65969
65000 4.28194 4.27406 4.28982
70000 4.96972 4.94836 4.99109
75000 5.7027 5.68569 5.71972
80000 6.50286 6.45357 6.55216
85000 7.3641 7.27679 7.45142
90000 8.30846 8.1399 8.47701
95000 9.29955 9.00376 9.59535
100000 10.3607 9.9076 10.8139
